year,character,identity,align,eye,hair,gender,alive,appearance,ratings
1939,Human Torch ,Public ,good ,Blue,Blond,Male,Living,548,3.8
1940,Thomas Raymond ,Secret ,good ,Blue,Black,Male,Living,373,3.3
1941,Johann Shmidt ,Public ,bad,Blue,Blond,Male,Deceased,376,3.3
1941,James Buchanan Barnes ,Secret ,good ,Brown,Brown,Male,Living,641,3.8
1941,Captain America ,Public ,good ,Blue,White,Male,Living,3458,4.8
1944,Patricia Walker ,Secret ,good ,Blue,Red,Female,Living,550,3.8
1949,Ares ,Secret ,neutral ,Brown,Brown,Male,Deceased,236,3.3
1949,Loki Laufeyson ,No Dual ,neutral ,Green,Black,Genderfluid,Living,532,3.8
1950,Thor ,No Dual ,good ,Blue,Blond,Male,Living,2402,4.8
1951,Vlad Dracula ,No Dual ,bad,Red,White,Male,Living,223,3.3
1960,Jonathan Clay ,Secret ,good ,Blue,Red,Male,Living,237,3.4
1961,Harvey Elder ,Secret ,bad,Brown,Grey,Male,Living,164,2.7
1961,Susan Storm ,Public ,good ,Blue,Blond,Female,Living,1713,4.5
1961,Jonathan Storm ,Public ,good ,Blue,Blond,Male,Living,1934,4.5
1961,Reed Richards ,Public ,good ,Brown,Brown,Male,Living,2072,4.8
1961,Benjamin Grimm ,Public ,good ,Blue,No,Male,Living,2255,4.8
1962,Donald Blake ,No Dual ,good ,Blue,Blond,Male,Living,170,2.7
1962,The Wizard ,Public ,bad,Hazel,Brown,Male,Living,189,3.3
1962,Matthew Hawk ,Secret ,good ,Blue,Brown,Male,Deceased,195,3.3
1962,Benjamin Parker ,No Dual ,good ,Blue,Brown,Male,Deceased,205,3.3
1962,Jane Foster ,No Dual ,good ,Blue,Brown,Female,Living,211,3.3
1962,Heimdall ,Secret ,good ,Grey,Brown,Male,Living,270,3.4
1962,Alicia Masters ,No Dual ,good ,Brown,Strawberry,Female,Living,293,3.4
1962,Balder Odinson ,Secret ,good ,Blue,Brown,Male,Deceased,403,3.5
1962,Red Hulk ,Public ,neutral ,Blue,Black,Male,Living,415,3.5
1962,Elizabeth Ross ,Public ,good ,Blue,Black,Female,Living,446,3.5
1962,Odin Borson ,Public ,neutral ,Blue,White,Male,Living,502,3.8
1962,Richard Jones ,Secret ,good ,Brown,Brown,Male,Living,590,3.8
1962,Eugene Thompson ,Secret ,good ,Blue,Strawberry,Male,Living,689,3.5
1962,Victor von Doom ,Public ,bad,Brown,Brown,Male,Living,721,3.5
1962,May Reilly ,No Dual ,good ,Blue,Grey,Female,Living,1000,4.5
1962,Henry Pym ,Public ,good ,Blue,Blond,Male,Living,1237,4.5
1962,Hulk ,Public ,good ,Brown,Brown,Male,Living,2017,4.8
1962,Spider-Man ,Secret ,good ,Hazel,Brown,Male,Living,4043,4.8
1963,Harold Hogan ,No Dual ,good ,Brown,Brown,Male,Deceased,166,2.7
1963,Jessica Jones ,No Dual ,good ,Brown,Brown,Female,Living,195,3.3
1963,John Jonah Jameson III ,No Dual ,good ,Brown,Auburn,Male,Living,240,3.4
1963,Adrian Toomes ,Public ,bad,Hazel,Bald,Male,Living,248,3.4
1963,Curtis Connors ,Public ,neutral ,Red,No,Male,Living,250,3.4
1963,Virginia Potts ,No Dual ,good ,Green,Red,Female,Living,274,3.4
